window_id,session_id,num_frames,posture_shoulder_tilt_mean,posture_shoulder_tilt_std,posture_body_lean_mean,posture_body_lean_std,posture_head_height_mean,posture_head_height_std,posture_torso_height_mean,posture_torso_height_std,hands_left_height_mean,hands_right_height_mean,hands_spread_mean,hands_spread_std,hands_left_movement_mean,hands_right_movement_mean,hands_left_visible_ratio,hands_right_visible_ratio,sway_x_std,sway_y_std,sway_crossing_count,movement_path_length,movement_net_displacement,movement_displacement_ratio,posture_label,hands_label,sway_label,movement_label
0,0,90,0.004037236836221485,0.0028965173871441097,1.068824090127205,0.1439542668884977,0.19142400324344636,0.002968805921379207,0.3563355964091089,0.002199299669880985,0.28547281159294974,0.2830750839577781,0.09469853168372809,0.004330560371903343,0.0008972479509857342,0.0014430712215081102,0.0,0.0,0.0031448567901756503,0.002180457716396669,1,0.04651976235821225,0.007442982714504357,0.15999270728181555,low,low,low,low
1,0,90,0.0038733015457789108,0.0012264020213083957,0.7979683447586372,0.05152249115554395,0.17350362572405073,0.007429961807658334,0.3587409461537997,0.0015697912339594892,0.2879329330391354,0.2930555797285504,0.11332492259596313,0.00834224505088783,0.0005629004704317954,0.0005126707404495459,0.0,0.0,0.000326805223408944,0.00147520401422883,3,0.01762761252285957,0.003996564426211554,0.22670896084584563,low,low,low,low
2,0,90,0.001224922802713181,0.0031728373702795743,0.8254647059096152,0.224461078478845,0.1701737536324395,0.00312787660517671,0.3606240260932181,0.0018825028524116784,0.2877892010741764,0.2930224753088421,0.1165422448882009,0.006833065578504214,0.0007018058473212431,0.0007081760395078225,0.0,0.0,0.0005961716681904999,0.003014783173034154,3,0.019480388707826753,0.005893942609954171,0.3025422211090243,low,low,low,low
3,0,90,0.002543774909443319,0.003340871778551402,0.796783751660183,0.1263452732825075,0.1730436482363277,0.007795856658274071,0.36093073205815424,0.0028993897643593996,0.28636923498577543,0.2901995403899087,0.11022992065762664,0.005183232106936286,0.0006753224912864918,0.000991570493606548,0.0,0.0,0.000491098037606635,0.001395115347472661,2,0.018172154396084418,0.0001600088555455607,0.008804682558578612,low,low,low,low
4,0,90,0.004712828331523477,0.005051419314698154,0.9003210631388499,0.22852225376186924,0.16479706068833672,0.001313446763538184,0.35844242490000194,0.001753837063288026,0.2902742819653617,0.29972461925612554,0.11741362437171105,0.004639590914650984,0.0005204452066607845,0.0009006178570551125,0.0,0.0,0.0010214215004932148,0.00184039826369555,1,0.02148477869545628,0.0033738041056074193,0.15702498631436138,low,low,low,low
5,0,90,0.00399017035961152,0.001526198576033991,0.7084083449533546,0.06966485047905692,0.16445500089062584,0.0031427857865133145,0.3541400487224261,0.0018236705010515632,0.2873713360892402,0.29837882816791533,0.12057286124414278,0.0038405595198259678,0.000388697965382647,0.0005401089599787406,0.0,0.0,0.0004960969510290634,0.0019310125683692327,2,0.017839857054601723,0.005496701370036009,0.3080962620356983,low,low,low,low
6,0,90,0.005268713500764634,0.001707585201416764,0.7661656567686432,0.06245769206094199,0.16793665422333612,0.004794620089204149,0.355331234799491,0.001517441107049073,0.2917486502064599,0.29625774423281354,0.10611601216307055,0.011745081679097977,0.0005415839813669103,0.0008881616827288199,0.0,0.0,0.0017018211873545356,0.002324975617805121,1,0.022419428702936586,0.005140572016086331,0.22928071912438627,low,low,low,low
7,0,90,0.005051315161916939,0.0008179938285769105,0.877456653638496,0.04818604999639751,0.17078363680177264,0.001078116968457386,0.35623008592261207,0.001221193331061441,0.28577593796783024,0.2973141955004798,0.12217053793588646,0.007576643315357242,0.00045669509773232453,0.0003267404024819143,0.0,0.0,0.00026939743888038694,0.000645679209745683,3,0.012353575702205943,0.0013998189707420427,0.11330368638172668,low,low,low,low
8,0,90,0.0076324270831214115,0.0008827608936501533,1.022504518150495,0.049375186056725674,0.16658766766389213,0.0015115403201998358,0.35766135586632625,0.0004998157898305401,0.2829365097814136,0.2936356620656119,0.12114384350399826,0.005812967331745568,0.000375586315054535,0.00046206292658861433,0.0,0.0,0.00017736167981804833,0.0016059042048234989,5,0.015244473952533392,0.0009211442474770006,0.06042083377302488,low,low,low,low
9,0,90,0.009870550367567277,0.001609594516117466,0.838796407229634,0.04555323963843933,0.16215214298831093,0.0014058074922074786,0.36128850248124866,0.0028967138980727537,0.28464010622766284,0.2981790204842885,0.10819387162664798,0.003493839713274572,0.0005031420308873819,0.0005912079479597084,0.0,0.0,0.00018074476860911403,0.002934842479059907,5,0.014852638094604353,0.009184254429917126,0.6183168306257135,low,low,low,low
10,0,90,0.011483138468530439,0.0006814470646790714,1.0936989487503361,0.07404389929452153,0.16278082827727,0.0020401032220080466,0.37194862647189036,0.005823580796191021,0.26766035755475365,0.2714168498913447,0.10075740412027365,0.00858009282680626,0.00292610505250438,0.004409044172381619,0.0,0.0,0.0004847288433534118,0.008075433891010524,1,0.03025153028239075,0.019974470766988824,0.6602578554764879,low,low,low,low
11,0,90,0.011027652025222774,0.0018834308717927308,1.249544284941815,0.07406010089454738,0.16008699867460463,0.0008575215161139414,0.3820402794414096,0.002030614390380587,0.2773403525352478,0.2806298706266615,0.08950795686261453,0.003301038001355685,0.0008944680744216156,0.0008569787239213911,0.0,0.0,0.00027866508897978685,0.001948129993105209,3,0.020318481313106634,0.0021944136346165686,0.10799555366608253,low,low,low,low
12,0,90,0.013097675972514678,0.0011540388033259227,1.173181116849171,0.041925269795960944,0.1611349763141738,0.0014217147286624222,0.3790577880210347,0.0018748923674741784,0.2831468668248918,0.29320432709323035,0.09894605602145465,0.003003467865324661,0.000559429930058638,0.0008541212710428848,0.0,0.0,0.00019750095197729875,0.0021483938988053845,3,0.0215485587535493,0.006983543040047506,0.3240689575092709,low,low,low,low
13,0,90,-0.017404805620511374,0.037531805900124206,-2.5175155391077255,4.41678954672734,0.15073368400335313,0.014723668617961825,0.38047803392012913,0.004963341827323644,0.27600645224253334,0.2810109625260035,0.10646005505710941,0.02020096849721173,0.008621245149494831,0.002678606521979548,0.0,0.0,0.00751673440566594,0.008125374265991263,1,0.08174423266743662,0.021787567008611695,0.26653012411439153,low,low,low,low
14,0,90,0.04421838555071089,0.06525284005079496,3.3897029473693583,5.7892614896391486,0.17483826163742278,0.022504055085989787,0.38471866796414056,0.010547066679298528,0.2767764253748788,0.3122649159696367,0.12565452677111782,0.01757314119461967,0.003415362132226452,0.004824735750634205,0.0,0.0,0.007984063094527559,0.007821063284344504,1,0.11484099658568751,0.025051498315845258,0.21813882604482138,low,low,low,low
15,0,90,0.0066696938541200524,0.006576725737477637,-1.0402495254075883,0.8898257672964804,0.18527816153234905,0.010596462626560233,0.3913089750541581,0.003830834915976737,0.28523811962869433,0.30923443271054163,0.1120914931707364,0.007242072281556844,0.0012381334129374915,0.0011162499303517667,0.0,0.0,0.001554862160059147,0.005942205555040391,2,0.06286093652137666,0.005168988272851112,0.08222763342795461,low,low,low,low
16,0,90,0.01192280186547174,0.0014320071093581676,0.04313358275102049,0.09956269204275146,0.17300863017638524,0.004248866065476367,0.38848276635011036,0.005426530839965744,0.28615443309148153,0.3071608311600155,0.11310357894405018,0.005945459460089218,0.0005818815149824754,0.000720489672065311,0.0,0.0,0.0003877077160580574,0.0069198502288947816,5,0.03701761129926726,0.0236462884746357,0.6387675724373741,low,low,low,low
17,0,90,0.010726097557279806,0.0011952840556590484,0.02068475138251744,0.036870865585054806,0.175708702703317,0.0008837456626653212,0.39596967531575095,0.0011922753324592856,0.2904881580008401,0.31576275328795117,0.11613844689298444,0.006635150748906681,0.00034254136464000853,0.0003648486631062199,0.0,0.0,0.0007354676035231238,0.0010199731386676305,1,0.013888059006634944,0.003553805531902261,0.2558708642683837,low,low,low,low
18,0,90,0.014735868573188787,0.001670248802220498,0.2677671463892611,0.15044048345863326,0.17177879313627878,0.005640511038642353,0.3900923846496476,0.0009033891870736204,0.29270965258280435,0.31149623427126144,0.11727440470176899,0.0031964527662138656,0.0002489607714938617,0.00028551710748957757,0.0,0.0,0.00012501418993698127,0.001997742225828125,3,0.01729807629694086,0.005403581790197798,0.3123624462627151,low,low,low,low
19,0,90,0.012860371337996588,0.002712361133006463,0.30607428130394004,0.13332045125610995,0.17127295401361253,0.00564601576847517,0.38955514017078613,0.004859417080861116,0.2891465362575319,0.31118463741408453,0.11423098253649759,0.0032811405046600994,0.0006935969136983765,0.0004745433536044573,0.0,0.0,0.00015968052484532837,0.006911434125643881,5,0.032437351340498334,0.02228378029209029,0.6869578560939267,low,low,low,low
